term,rank
sembako,0.8060469844919129
yakin,0.8060469844919129
kumpul,0.8056030543351479
tua,0.8033898591309303
wajib,0.8020683893398992
bagai,0.8016065014105356
tanggal,0.796131770953667
luas,0.7957083141020176
anti,0.7877007642388112
tanggung,0.7877007642388112
datang,0.783913741333817
dasar,0.7753929397975798
sidang,0.7720362604045168
kondisi,0.7720362604045168
dki,0.769239027576964
pungut,0.769239027576964
jakarta,0.7659728974054276
jabat,0.7545231505276657
vaksinuntukpulihkanri,0.7529492599341578
vaksingotongroyong,0.7497100933470392
padang,0.7440433703002274
haji,0.7440433703002274
aja,0.7439191300221234
imun,0.7436335886170595
usul,0.7384694664738856
akibat,0.7384694664738856
adil,0.7384694664738856
manusia,0.7384694664738856
dalang,0.7384694664738856
jarum,0.7255138617989051
vaksinmembawadampakbaik,0.7255138617989051
teliti,0.7138538175914226
dagang,0.7033042537846529
harga,0.6981893137571282
vaksingotongroyongpekerja,0.6981893137571282
kanada,0.6908974152787826
alhamdulillahtenaga,0.6908974152787826
vaksindemipulihkannkri,0.6908974152787826
mojokerto,0.6908974152787826
instruksi,0.6908974152787826
agama,0.6908974152787826
bib,0.6908974152787826
panutan,0.6908974152787826
kabur,0.6908974152787826
hobi,0.6908974152787826
puji,0.6908974152787826
truk,0.6908974152787826
tembus,0.6908974152787826
suplai,0.6908974152787826
pinokio,0.6908974152787826
bebas,0.6896280770969363
kominfo,0.6892381687089598
hoaks,0.6892381687089598
vaksinnusantara,0.6886787914847382
lindung,0.6797275770952811
proses,0.6774443776107367
lawancovid,0.6769303442677284
kabupaten,0.6757519206146617
om,0.6717058204099275
dalam,0.6695456496029896
lengkap,0.664622519826497
bijak,0.664622519826497
vaksinuntuksemua,0.664622519826497
keras,0.6634378094524747
kantor,0.6634378094524747
bagaimana,0.6627290083739998
haram,0.6590459769446576
kolaborasi,0.6564173035323427
pemda,0.6564173035323427
dorong,0.6540729560197271
april,0.6481626735825409
isis,0.6448375875935304
lebaran,0.6448375875935304
oksigen,0.6448375875935304
telah,0.6448375875935304
waktu,0.6448375875935304
vaksinasinyamanbumn,0.6362198480390399
cinta,0.6362198480390399
edar,0.6362198480390399
tara,0.6357258885296928
giat,0.6298710155218435
paham,0.6298710155218435
dpr,0.6210149194283572
pakaimasker,0.6203624189249354
pilih,0.6203143518380638
tenagapendidik,0.6137928033029698
asing,0.6120647830234006
jenderal,0.6118747007926479
laku,0.607186005767417
pegawaikaryawan,0.6045352383689347
efektif,0.6045352383689347
bpbaps,0.6045352383689347
kabsitubondo,0.6045352383689347
soebjakto,0.6045352383689347
nakes,0.6045352383689347
diabetes,0.6045352383689347
kena,0.6045352383689347
infeksi,0.6045352383689347
riwayat,0.6045352383689347
tular,0.6045352383689347
komponen,0.6045352383689347
sinergitas,0.6045352383689347
gel,0.6045352383689347
aku,0.6045352383689347
zonasi,0.6045352383689347
tentu,0.6045352383689347
lengan,0.6045352383689347
abis,0.6045352383689347
bangsa,0.6045352383689347
anjing,0.6045352383689347
tim,0.6045352383689347
ppkmmikro,0.6045352383689347
sulteng,0.6045352383689347
condet,0.5907755731791084
kerjasama,0.5907755731791084
mei,0.5907755731791084
sinulingga,0.5907755731791084
kpcpen,0.5907755731791084
komunikasi,0.5907755731791084
koordinator,0.5907755731791084
arya,0.5907755731791084
antre,0.5869885502741141
jenis,0.5869885502741141
jelang,0.5802260093723386
jelas,0.5802260093723386
ptm,0.5802260093723386
baharu,0.5771231964879946
baru,0.5771231964879946
dapat,0.5771231964879946
sekarang,0.5767506595310117
sekolah,0.5723138365172613
juli,0.5723138365172613
acu,0.5689743419942915
duduk,0.5689743419942915
nu,0.5689743419942915
tolong,0.5623729013916513
ancam,0.556024068874455
video,0.5496877983527418
gara,0.5496877983527418
bawa,0.5415442754141827
berita,0.5380277541452594
uni,0.5380277541452594
exotargetedteaser,0.537364656327942
freehabibrizieqshihab,0.537364656327942
langka,0.537364656327942
immunity,0.537364656327942
produk,0.537364656327942
rni,0.537364656327942
maksimal,0.537364656327942
produksi,0.537364656327942
tv,0.537364656327942
film,0.537364656327942
keraton,0.537364656327942
abdi,0.537364656327942
herd,0.537364656327942
soekarnohatta,0.537364656327942
dahulu,0.537364656327942
pasti,0.537364656327942
soetta,0.537364656327942
lockdown,0.537364656327942
covidsecondwave,0.537364656327942
epidemiolog,0.537364656327942
menghimbau,0.537364656327942
frontliners,0.537364656327942
banker,0.537364656327942
panik,0.537364656327942
kunci,0.537364656327942
tanggulang,0.537364656327942
ada,0.537364656327942
cegahcovid,0.537364656327942
vaksinpulihkanbangsa,0.537364656327942
serius,0.537364656327942
bandara,0.537364656327942
capa,0.537364656327942
aneh,0.537364656327942
otak,0.537364656327942
sebab,0.537364656327942
kebal,0.537364656327942
junction,0.537364656327942
teriak,0.537364656327942
komunitas,0.537364656327942
bsd,0.537364656327942
kuota,0.537364656327942
trombosis,0.537364656327942
gin,0.5285886707392022
lampung,0.5274781903384896
wakil,0.525449428067957
peduli,0.5230825387523356
umum,0.5230825387523356
uji,0.5220215194039536
antar,0.5181730614590869
online,0.5178876777868807
liat,0.5090823059948923
ponsel,0.5090823059948923
babi,0.5090823059948923
lampostco,0.50637906272495
vaksincorona,0.50637906272495
obat,0.49846688986987275
pegawai,0.49846688986987275
covidvaccine,0.4967885501733412
farmasi,0.4889865386110864
belum,0.4889865386110864
tahan,0.48362819069514784
daya,0.48362819069514784
akses,0.48362819069514784
vaksindorongpemulihanri,0.48362819069514784
adalah,0.48362819069514784
pimpin,0.48362819069514784
halang,0.48362819069514784
tegal,0.48362819069514784
timbul,0.48362819069514784
kerumun,0.48362819069514784
ilmiah,0.48362819069514784
vaksinselamatkanbangsa,0.48362819069514784
semua,0.48362819069514784
atur,0.48362819069514784
gmni,0.48362819069514784
evaluasi,0.48362819069514784
amandanhalal,0.48362819069514784
erick,0.48362819069514784
kesana,0.48362819069514784
masalah,0.48362819069514784
padaherang,0.48362819069514784
poskotajabar,0.48362819069514784
tsunami,0.48362819069514784
ravel,0.48362819069514784
tebang,0.48362819069514784
alami,0.48362819069514784
mendagri,0.48362819069514784
bantu,0.48362819069514784
indonesiasehat,0.48362819069514784
terimakasih,0.48362819069514784
jusuf,0.48362819069514784
kalla,0.48362819069514784
wisata,0.48362819069514784
ayovaksintetapm,0.48362819069514784
aplikasi,0.4747303713046407
sulit,0.47262045854328677
angka,0.46769732876679415
kepala,0.46769732876679415
ini,0.46769732876679415
baca,0.46769732876679415
balikpapan,0.4605982768525217
sibuk,0.4605982768525217
jombang,0.4605982768525217
kemenag,0.4605982768525217
kadin,0.4605982768525217
kurang,0.4571477649600244
senin,0.44308167988433134
hadap,0.44103037581079274
malam,0.43966199154104346
nyokap,0.43966199154104346
magetan,0.43966199154104346
beriamagetan,0.43966199154104346
perhati,0.43966199154104346
cukup,0.43966199154104346
kini,0.43966199154104346
ancang,0.43966199154104346
pangan,0.43966199154104346
sore,0.43966199154104346
siang,0.43966199154104346
kelar,0.43966199154104346
antri,0.43966199154104346
dtg,0.43966199154104346
vaksinasigotongroyongpercepatpemulihanekonomi,0.43966199154104346
majemuk,0.43966199154104346
gokil,0.43966199154104346
sarawak,0.43966199154104346
vaksinsarawak,0.43966199154104346
islam,0.43966199154104346
akalakalan,0.43966199154104346
umat,0.43966199154104346
tekad,0.43966199154104346
terima kasih,0.43966199154104346
sematamata,0.43966199154104346
bagi,0.43966199154104346
bangkit,0.43966199154104346
bps,0.43966199154104346
hrs,0.43966199154104346
pn,0.43966199154104346
sabtu,0.43966199154104346
maret,0.43966199154104346
nujum,0.43966199154104346
stabil,0.43966199154104346
jaktim,0.43966199154104346
fsgi,0.43966199154104346
survei,0.43966199154104346
politik,0.43623871957723737
satgascovid,0.42294160352595267
tanah,0.41418504858752714
air,0.41418504858752714
ptoyokol,0.40302349224595646
bugar,0.40302349224595646
lantaiempat,0.40302349224595646
cium,0.40302349224595646
vaksinhalal,0.40302349224595646
bulus,0.40302349224595646
akal,0.40302349224595646
putih,0.40302349224595646
rezeki,0.40302349224595646
ingkar,0.40302349224595646
vaksinansi,0.40302349224595646
piket,0.40302349224595646
picu,0.40302349224595646
kotatasikmalaya,0.40302349224595646
malang,0.40302349224595646
oposisi,0.40302349224595646
dinkesri,0.40302349224595646
gerung,0.40302349224595646
dinaskesahatantasikmalaya,0.40302349224595646
puskesmascilembang,0.40302349224595646
rocky,0.40302349224595646
satgascovidtasikmalaya,0.40302349224595646
varian,0.40302349224595646
serang,0.40302349224595646
malaysia,0.40302349224595646
likeforlikes,0.40302349224595646
tenggara,0.40302349224595646
kumpulin,0.40302349224595646
aju,0.40302349224595646
barat,0.40302349224595646
vaksinuntuklansia,0.40302349224595646
senarai,0.40302349224595646
olimpiade,0.40302349224595646
atlet,0.40302349224595646
jepang,0.40302349224595646
tuduh,0.40302349224595646
periode,0.40302349224595646
pusat,0.40302349224595646
asia,0.40302349224595646
infopurbalingga,0.40302349224595646
coba,0.40302349224595646
jangka,0.40302349224595646
konteks,0.40302349224595646
didu,0.40302349224595646
daerahdaerah,0.40302349224595646
masa,0.40302349224595646
lapang,0.40302349224595646
sadar,0.40302349224595646
check,0.40302349224595646
vaksinasipelayanpublik,0.40302349224595646
papua,0.40302349224595646
langgar,0.40302349224595646
tweet,0.40302349224595646
teu,0.40302349224595646
translate,0.40302349224595646
harihari,0.40302349224595646
merah,0.40302349224595646
posisi,0.40302349224595646
beum,0.40302349224595646
sempit,0.40302349224595646
berfikir,0.40302349224595646
jagajarak,0.40280152716757395
cucitangan,0.40280152716757395
jaya,0.3869025525561183
governmentaction,0.3786334355375195
ahli,0.37432762610917647
badan,0.3720216851501137
bio,0.3720216851501137
suarapemerintah,0.3720216851501137
rijal,0.3720216851501137
farma,0.3720216851501137
sinopharm,0.3720216851501137
calon,0.3720216851501137
baya,0.3720216851501137
sumbar,0.3720216851501137
saudi,0.3720216851501137
seroja,0.3720216851501137
panglima,0.3720216851501137
siklon,0.3720216851501137
bencana,0.3720216851501137
tunda,0.3720216851501137
ntt,0.3720216851501137
satgas,0.3720216851501137
pingsan,0.3720216851501137
idol,0.3720216851501137
kabar,0.3720216851501137
karena,0.3720216851501137
pelaggran,0.3720216851501137
paruh,0.3720216851501137
semarang,0.3720216851501137
surabaya,0.3720216851501137
serbu,0.3720216851501137
lanjut,0.3720216851501137
arab,0.3720216851501137
tropis,0.3720216851501137
audisi,0.3720216851501137
rp,0.3720216851501137
bohong,0.3720216851501137
gotongroyongsemuatertolong,0.3720216851501137
asa,0.3720216851501137
rata,0.3720216851501137
bentak,0.3720216851501137
ix,0.3720216851501137
profil,0.3720216851501137
kapolri,0.3720216851501137
komisi,0.3720216851501137
tinggalin,0.3720216851501137
pelanggran,0.3720216851501137
krena,0.3720216851501137
yak,0.3720216851501137
kirakira,0.3720216851501137
pake,0.36306023937010423
boleh,0.36185003857220394
pariwisata,0.358243104218628
in,0.3550333973432142
made,0.3550333973432142
bandar,0.3454487076393913
lintas,0.3454487076393913
kadiskes,0.3454487076393913
vlix,0.3454487076393913
edwin,0.3454487076393913
rusli,0.3454487076393913
data,0.3454487076393913
suara,0.3454487076393913
derajat,0.3454487076393913
sma,0.3454487076393913
tokoh,0.3454487076393913
coronavak,0.3454487076393913
kunjung,0.3454487076393913
download,0.3454487076393913
android,0.3454487076393913
ghebreyesus,0.3454487076393913
adhanom,0.3454487076393913
tedros,0.3454487076393913
direktur,0.3454487076393913
aktifitasnya,0.3454487076393913
sobatparekraf,0.3454487076393913
wonderfulindonesia,0.3454487076393913
antuk,0.3454487076393913
ekonomikreatif,0.3454487076393913
bangkitbersamakemenparekraf,0.3454487076393913
hariberbaginasional,0.3454487076393913
liburanhindarikerumunan,0.3454487076393913
makinbanggabuatanindonesia,0.3454487076393913
langkahbaikdeminegeri,0.3454487076393913
demam,0.3454487076393913
serasa,0.3454487076393913
utama,0.3454487076393913
anjritt,0.3454487076393913
zurich,0.3454487076393913
neema,0.3454487076393913
lu,0.3454487076393913
salambanteng,0.3454487076393913
tuding,0.3454487076393913
main,0.3454487076393913
hate,0.3454487076393913
milik,0.3454487076393913
paris,0.3454487076393913
up,0.3454487076393913
megawati,0.3454487076393913
nyata,0.3454487076393913
back,0.3454487076393913
hongkong,0.3454487076393913
panjang,0.3454487076393913
industri,0.33074308150953946
amerika,0.3232028168917536
lebat,0.3224187937967652
kpu,0.3224187937967652
sekretariat,0.3224187937967652
temanpemilih,0.3224187937967652
gelar,0.3224187937967652
saptaselectnews,0.3224187937967652
inggris,0.3224187937967652
murah,0.3224187937967652
body,0.3224187937967652
banding,0.3224187937967652
produktif,0.3224187937967652
konsumsi,0.3224187937967652
kpumelayani,0.3224187937967652
rencana,0.3224187937967652
sumber,0.3224187937967652
gaji,0.3224187937967652
potong,0.3224187937967652
izin,0.3224187937967652
alas,0.3224187937967652
mardani,0.3224187937967652
ali,0.3224187937967652
sera,0.3224187937967652
ceroboh,0.3224187937967652
medis,0.3224187937967652
alur,0.3224187937967652
pasok,0.3224187937967652
zona,0.3224187937967652
nadiemmakarim,0.3224187937967652
kbm,0.3224187937967652
makarim,0.3224187937967652
febmei,0.3224187937967652
cakup,0.3224187937967652
vs,0.3224187937967652
rentang,0.3224187937967652
dibubarin,0.3224187937967652
ketimbang,0.3224187937967652
baju,0.3224187937967652
rusdi,0.3224187937967652
hartono,0.3224187937967652
china,0.3224187937967652
kasih,0.3224187937967652
yakali,0.3224187937967652
duga,0.3224187937967652
karyawan,0.3224187937967652
humas,0.3224187937967652
polisi,0.3224187937967652
waspadateroris,0.3224187937967652
dekat,0.3224187937967652
sinyal,0.3224187937967652
hujan,0.3224187937967652
healthies,0.3224187937967652
brigjen,0.3224187937967652
ribet,0.3224187937967652
voxpopuli,0.3224187937967652
vaksinasiwartawan,0.3224187937967652
damping,0.3224187937967652
bahwa,0.3224187937967652
merupkn,0.3224187937967652
dan,0.3224187937967652
masala,0.3224187937967652
sah,0.3224187937967652
afiliasi,0.3224187937967652
menyebartetap,0.3224187937967652
organisasi,0.3224187937967652
jad,0.3224187937967652
makassar,0.3224187937967652
karo,0.3224187937967652
penmas,0.3224187937967652
divisi,0.3224187937967652
nasionalisme,0.31689111205009646
keluar,0.30769561103078563
sembuh,0.3022676191844674
indonesiadermawan,0.3022676191844674
tumbuh,0.3022676191844674
forumkaskus,0.3022676191844674
vaksinasitetap,0.3022676191844674
ehtahu,0.3022676191844674
silah,0.3022676191844674
saksi,0.3022676191844674
papar,0.3022676191844674
aktivitas,0.3022676191844674
kemenpanrb,0.3022676191844674
rang,0.3022676191844674
fadli,0.3022676191844674
zon,0.3022676191844674
cm,0.3022676191844674
panrb,0.3022676191844674
sahabat,0.3022676191844674
rekanasn,0.3022676191844674
sukseskanvaksinasi,0.3022676191844674
egois,0.3022676191844674
awas,0.3022676191844674
beramahtamah,0.3022676191844674
beda,0.28448717099714577
suci,0.28448717099714577
vaksinasicovidkabupatenbekasi,0.28448717099714577
kabupatenbekasi,0.28448717099714577
tangerang,0.28448717099714577
selatan,0.28448717099714577
vaksinmandiriatasipandemi,0.28448717099714577
vaksinuntukkebaikanri,0.28448717099714577
informasi,0.28448717099714577
kabinet,0.28448717099714577
kejar,0.28448717099714577
nupedulicovid,0.28448717099714577
pcnu,0.28448717099714577
partisipasi,0.28448717099714577
lpbi,0.28448717099714577
tompi,0.28448717099714577
lantang,0.28448717099714577
televisi,0.28448717099714577
fokus,0.28448717099714577
mas,0.28448717099714577
tetapwaspadacorona,0.28448717099714577
efektifitas,0.28448717099714577
lele,0.28448717099714577
total,0.28448717099714577
artis,0.28448717099714577
kl,0.28448717099714577
bs,0.28448717099714577
pecel,0.28448717099714577
syarat,0.28448717099714577
titer,0.28448717099714577
vaksintetap,0.268682328163971
vonis,0.268682328163971
tipe,0.268682328163971
kitatetap,0.268682328163971
mrai,0.268682328163971
msih,0.268682328163971
kemaren,0.268682328163971
penny,0.268682328163971
tangguh,0.268682328163971
optimis,0.268682328163971
lonjak,0.268682328163971
eks,0.268682328163971
rekomendasi,0.268682328163971
lukito,0.268682328163971
silalahi,0.268682328163971
potensi,0.268682328163971
tips,0.268682328163971
sudi,0.268682328163971
puluh,0.268682328163971
bpomvonismativaksinnusantara,0.268682328163971
sudisilalahi,0.268682328163971
kaji,0.268682328163971
susul,0.268682328163971
imunitas,0.268682328163971
political,0.2614206436189988
it,0.2614206436189988
make,0.2614206436189988
enzim,0.2545411529974462
vaksinasicorona,0.2545411529974462
selfiengeshoot,0.2545411529974462
tripsinbabi,0.2545411529974462
tripsin,0.2545411529974462
boro,0.2545411529974462
mah,0.2545411529974462
redeb,0.2545411529974462
mutasi,0.2545411529974462
contoh,0.2545411529974462
pas,0.2545411529974462
kumhampasti,0.2545411529974462
tanjung,0.2545411529974462
aduh,0.2545411529974462
pandemictalks,0.2545411529974462
kolom,0.2545411529974462
komentar,0.2545411529974462
konspirasi,0.2545411529974462
senantiasa,0.2545411529974462
mudah,0.2545411529974462
dunia,0.2545411529974462
seluruh,0.2545411529974462
percaya,0.2545411529974462
rutan,0.2545411529974462
kaltim,0.2545411529974462
donny,0.24181409534757392
rebound,0.24181409534757392
partner,0.24181409534757392
jdinya,0.24181409534757392
repot,0.24181409534757392
covax,0.24181409534757392
facility,0.24181409534757392
gimna,0.24181409534757392
airlangga,0.24181409534757392
dpat,0.24181409534757392
emng,0.24181409534757392
pede,0.24181409534757392
budi,0.24181409534757392
utoyo,0.24181409534757392
berantas,0.24181409534757392
penyebaranm,0.24181409534757392
swasta,0.24181409534757392
desember,0.24181409534757392
sembilan,0.24181409534757392
distribusi,0.24181409534757392
hubung,0.24181409534757392
multilateral,0.24181409534757392
tvri,0.24181409534757392
aktif,0.24181409534757392
dinas,0.24181409534757392
sri,0.24181409534757392
primawati,0.24181409534757392
indraswari,0.24181409534757392
dinaskesehatan,0.24181409534757392
kotategal,0.24181409534757392
dukungbpom,0.24181409534757392
politisasi,0.24181409534757392
klaim,0.24181409534757392
perlu,0.24181409534757392
prosedur,0.24181409534757392
tvrinews,0.24181409534757392
kaidah,0.24181409534757392
ema,0.24181409534757392
ledak,0.24181409534757392
vaksinpulihkannkri,0.24181409534757392
protokolkesehatan,0.24181409534757392
regulator,0.24181409534757392
kayak,0.24181409534757392
memang,0.24181409534757392
abai,0.24181409534757392
kai,0.24181409534757392
mimpi,0.23029913842626085
hari,0.23029913842626085
jadwal,0.23029913842626085
kalimantan,0.23029913842626085
kalimantantimur,0.23029913842626085
kemenagjombang,0.23029913842626085
jawatimur,0.23029913842626085
jurnaljatim,0.23029913842626085
beritaonline,0.23029913842626085
belajartatapmuka,0.23029913842626085
gurumadrasah,0.23029913842626085
kamar,0.23029913842626085
madrasah,0.23029913842626085
urusin,0.23029913842626085
wanita,0.23029913842626085
buruk,0.23029913842626085
lusin,0.23029913842626085
idi,0.23029913842626085
salah,0.23029913842626085
lemah,0.23029913842626085
kadinlampung,0.23029913842626085
sistem,0.23029913842626085
pasien,0.23029913842626085
introspeksi,0.23029913842626085
melulu,0.23029913842626085
pendamixudayana,0.21983099577052173
komorbid,0.21983099577052173
penremwirasatya,0.21983099577052173
puspentni,0.21983099577052173
humasbangli,0.21983099577052173
herdimmunity,0.21983099577052173
malu,0.21983099577052173
hitu,0.21983099577052173
husekaa,0.21983099577052173
dermaga,0.21983099577052173
tinjau,0.21983099577052173
kodamixudayana,0.21983099577052173
tniad,0.21983099577052173
koremwirasatya,0.21983099577052173
paskah,0.21983099577052173
ibadah,0.21983099577052173
aparat,0.21983099577052173
puspenad,0.21983099577052173
ingatpesanibu,0.21983099577052173
infobali,0.21983099577052173
menkes,0.21983099577052173
daring,0.21983099577052173
pandemic,0.21983099577052173
covidab,0.21983099577052173
coronavirusindia,0.21983099577052173
mt,0.21983099577052173
sengit,0.21983099577052173
ramadanmubarak,0.21983099577052173
kian,0.21983099577052173
ungkap,0.21983099577052173
bersamalawancorona,0.21983099577052173
onlineclasses,0.21983099577052173
jajar,0.21027312638919468
penting,0.21027312638919468
juang,0.21027312638919468
diributin,0.21027312638919468
urus,0.21027312638919468
marufamin,0.21027312638919468
ybs,0.21027312638919468
ttg,0.21027312638919468
bayang,0.21027312638919468
gaduh,0.21027312638919468
layak,0.21027312638919468
disabilitas,0.21027312638919468
sandang,0.21027312638919468
internasional,0.21027312638919468
girang,0.21027312638919468
schoof,0.21027312638919468
peter,0.21027312638919468
jerman,0.21027312638919468
duta,0.21027312638919468
tawan,0.20151174612297823
pasca,0.20151174612297823
viruscorona,0.20151174612297823
maruf,0.20151174612297823
aamiin,0.20151174612297823
komite,0.20151174612297823
fatwa,0.20151174612297823
koi,0.20151174612297823
manokwari,0.20151174612297823
dominggusmandacan,0.20151174612297823
papuabarat,0.20151174612297823
ajak,0.20151174612297823
gubernur,0.20151174612297823
kh,0.20151174612297823
covidindia,0.20151174612297823
ferry,0.20151174612297823
sekjen,0.20151174612297823
sinovaclolosujiwho,0.20151174612297823
mayoritas,0.20151174612297823
kono,0.20151174612297823
laga,0.20151174612297823
komnas,0.20151174612297823
kipi,0.20151174612297823
tokyo,0.20151174612297823
tenang,0.20151174612297823
amin,0.20151174612297823
cs,0.19345127627805914
catat,0.19345127627805914
lepas,0.19345127627805914
jauhhhhhh,0.19345127627805914
slot,0.19345127627805914
dengerin,0.19345127627805914
atau,0.19345127627805914
mau,0.19345127627805914
spice,0.19345127627805914
arena,0.19345127627805914
